season,team,win_ratio,team_PER
2014,HOU,0.659,11.0488617103702
2014,PHX,0.585,10.9739372247585
2016,IND,0.549,10.9468253330128
2016,MIA,0.585,11.0584751868373
2018,SAC,0.329,10.8562253148201
2018,CHA,0.439,10.9197620949681
2017,NO,0.415,11.0361491366621
2016,MIL,0.402,10.9202607114616
2014,MIL,0.183,10.8710005356737
2018,DET,0.476,11.0095532192444
2014,PHI,0.232,10.8440337095446
2017,UTAH,0.622,10.9279906572895
2016,CHI,0.512,10.8708009836287
2015,NY,0.207,10.7564227009751
2017,LAL,0.317,10.8570341963309
2017,ATL,0.524,10.9574375412624
2018,DAL,0.293,10.8973032989061
2014,WSH,0.537,10.9537378313698
2016,DAL,0.512,10.9131592765804
2015,MIA,0.451,10.9445312626748
2016,WSH,0.5,10.9656342575999
2014,LAL,0.329,10.8252296461804
2018,BOS,0.671,10.9350166968973
2017,DAL,0.402,10.8741908572945
2018,HOU,0.793,11.0384338211824
2017,WSH,0.598,11.054389418536
2016,DET,0.537,11.0109023828456
2017,MIA,0.5,10.926568345186
2017,MEM,0.524,10.860938223793
2015,LAL,0.256,10.8651558003446
2017,BOS,0.646,10.9486575043619
2015,CHA,0.402,10.8884800878802
2018,OKC,0.585,10.9908823287926
2018,LAC,0.512,10.9943714051734
2015,BOS,0.488,11.0713985037121
2014,CHI,0.585,10.9958053098169
2018,NY,0.354,10.8891929891237
2018,TOR,0.72,11.0197146178545
2014,NO,0.415,10.9079094685857
2018,MIA,0.537,10.9681402901052
2015,DEN,0.366,10.9416606726024
2015,DET,0.39,11.0394885620462
2017,PHI,0.341,10.8050271980751
2014,GS,0.622,11.0595552354225
2016,LAC,0.646,11.0146150566146
2014,CHA,0.524,10.9672717934452
2015,GS,0.817,11.0557111445252
2016,NY,0.39,10.9059066210103
2014,MEM,0.61,10.9807665713341
2017,CLE,0.622,11.0477967747866
2015,BKN,0.463,10.9554087882805
2018,BKN,0.341,10.9143940114342
2015,CHI,0.61,10.979179615912
2017,SA,0.744,10.9947325910947
2016,LAL,0.207,10.7876140811876
2014,ORL,0.28,10.8699614688427
2014,POR,0.659,10.9913544226585
2014,DEN,0.439,10.9210639473247
2016,HOU,0.5,10.9617168385194
2017,HOU,0.671,11.1062138355353
2015,PHI,0.22,10.7096334787423
2016,ORL,0.427,11.0118720173378
2017,DEN,0.488,11.0656067247102
2016,MEM,0.512,10.9289275145326
2017,GS,0.817,11.0836099469545
2014,ATL,0.463,10.9139694733982
2014,DET,0.354,10.9320797877451
2015,WSH,0.561,10.9394845414363
2018,LAL,0.427,10.954036826384
2015,PHX,0.476,11.140331778395
2014,UTAH,0.305,10.8676560669674
2015,UTAH,0.463,10.9823352910805
2015,ORL,0.305,10.8433070284349
2018,SA,0.573,10.9157705303026
2017,OKC,0.573,11.0693301215351
2018,DEN,0.561,11.0133646824724
2014,BKN,0.537,10.9220421254411
2015,HOU,0.683,11.0382997205095
2016,TOR,0.683,10.9938467347101
2016,PHI,0.122,10.8282930699791
2017,CHI,0.5,10.9443892767443
2017,MIL,0.512,10.975899391035
2015,OKC,0.549,11.0499432017128
2016,OKC,0.671,11.072160486739
2015,TOR,0.598,11.0134163611688
2014,SAC,0.341,11.0107550757167
2015,SA,0.671,10.9911305134329
2017,NY,0.378,10.9087018562537
2015,LAC,0.683,11.0589027588183
2017,PHX,0.293,10.879457839319
2016,UTAH,0.488,10.9133721838757
2016,NO,0.366,10.8816914699317
2018,MEM,0.268,10.7333537018763
2017,ORL,0.354,10.9397750730072
2018,WSH,0.524,10.9444169987798
2016,PHX,0.28,10.8197324635206
2016,GS,0.89,11.0577825660551
2016,ATL,0.585,10.9705671180794
2017,DET,0.451,10.8885948979895
2016,POR,0.537,10.9896494580454
2014,SA,0.756,10.9991161642468
2017,LAC,0.622,10.9970072570477
2017,MIN,0.378,10.9881913665322
2016,CHA,0.585,10.9887341219609
2018,PHI,0.634,11.0204553272342
2015,IND,0.463,10.8571725968661
2017,POR,0.5,11.0095745910643
2014,DAL,0.598,11.0247265781963
2017,SAC,0.39,10.9033144012903
2016,CLE,0.695,10.9963335460066
2016,BKN,0.256,10.849891899804
2016,SA,0.817,11.0112093707636
2014,LAC,0.695,11.0703662606534
2014,BOS,0.305,10.9201885482808
2015,SAC,0.354,10.9179583159027
2015,ATL,0.732,10.9776414484709
2014,MIN,0.488,10.9940761977727
2018,NO,0.585,11.0260822175287
2015,POR,0.622,11.0246083002106
2018,MIL,0.537,11.014170252128
2016,DEN,0.402,10.8996338733543
2014,MIA,0.659,11.0162074448287
2016,MIN,0.354,10.937501869509
2018,ATL,0.293,10.8395880574627
2018,PHX,0.256,10.9572110337185
2014,CLE,0.402,11.0001153133162
2018,CLE,0.61,11.1070184078546
2016,SAC,0.402,10.936031349253
2017,TOR,0.622,11.1077702433702
2018,POR,0.598,10.9549136143703
2015,MIN,0.195,10.9302471819975
2017,BKN,0.244,10.7769829330067
2014,NY,0.451,10.9209515239082
2018,CHI,0.329,10.8343967773274
2017,IND,0.512,10.9492469817358
2014,IND,0.683,10.9983681554168
2018,ORL,0.305,10.8298802162753
2014,OKC,0.72,11.0357988363582
2018,GS,0.707,10.9608653069087
2015,DAL,0.61,11.1081074969092
2014,TOR,0.585,11.1420155871002
2018,MIN,0.573,11.0514101328758
2018,UTAH,0.585,10.9625186695133
2015,MIL,0.5,10.9609317322955
2017,CHA,0.439,10.9513092853935
2015,CLE,0.646,11.0962812220152
2015,MEM,0.671,11.0358068518339
2016,BOS,0.585,10.965357654889
2015,NO,0.549,11.0326679675843
2018,IND,0.585,11.0033519433353
