season,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2018,HOU,39.6,85.6,46.2,10.1,28.8,35.1,14.6,19.6,74.6,8.7,33.4,42.0,22.4,14.5,7.4,4.4,4.8,20.4,19.5,103.9,-8.5
2018,TOR,38.4,85.6,44.9,8.9,25,35.7,18.2,23.7,76.7,9.8,32.6,42.4,21.8,14.3,7.2,4.9,6.1,19.9,21.7,103.9,-7.8
2018,GS,40.2,90,44.7,10.4,29.2,35.7,16.7,22,75.8,10.9,31.6,42.5,23.6,14.3,8.7,3.7,7.5,18.5,19.6,107.5,-6
2018,BOS,37.4,85,44,9.4,27.7,33.9,16.3,21.3,76.3,9.6,34.2,43.8,21.3,14.1,7.2,4.4,4.5,19.2,19.7,100.4,-3.6
2018,PHI,38,87.6,43.4,10.1,29.6,34.2,19.1,25.6,74.5,10.0,32.2,42.2,21.7,14.3,8.5,5.1,5.1,20.4,22.1,105.3,-4.5
2018,CLE,41.8,88.3,47.4,11.7,31.7,36.8,14.6,19.4,75.6,9.9,33.7,43.6,25.9,13.5,7.5,4.1,3.8,20.7,18.6,109.9,-0.9
2018,POR,38.4,85.9,44.7,9.7,26.6,36.4,16.6,22,75.5,9.3,33.6,42.9,20.2,12.6,7.3,5.1,5.2,19.1,19.5,103.0,-2.6
2018,IND,39.4,84.8,46.5,10.6,30.4,34.9,14.8,19.5,75.7,10.2,32.7,43.0,23.2,15.5,7.0,5.2,4.1,18.5,18.8,104.2,-1.4
2018,OKC,38.5,84,45.8,11.2,30.6,36.7,16.2,21.1,76.9,9.5,32.6,42.2,23.3,16.0,7.7,4.6,5.0,21.3,20.2,104.4,-3.4
2018,NO,41.7,91.9,45.4,10.9,30.6,35.5,16.1,20.5,78.4,10.8,34.7,45.5,23.7,14.5,8.2,4.2,5.9,20.4,19.1,110.4,-1.3
2018,UTAH,37.3,83,44.9,9.5,26,36.5,15.8,20.5,77.1,8.7,33.0,41.6,20.0,14.9,8.3,4.6,5.1,20.5,19.6,99.8,-4.3
2018,SA,38.2,84.3,45.3,9.1,26.3,34.8,14.3,18.9,75.9,9.2,33.3,42.5,21.8,14.1,7.6,3.9,5.6,19.7,17.2,99.8,-2.9
2018,MIN,40.2,84.7,47.5,10.9,29.6,36.6,16,20.5,77.9,9.8,32.0,41.8,23.9,15.1,6.5,4.7,4.2,20.9,18.2,107.3,-2.2
2018,DEN,41.3,86.7,47.6,10.9,28.8,37.8,15,20.4,73.8,9.8,31.9,41.6,24.7,13.8,8.0,4.8,4.9,20.7,18.7,108.5,-1.5
2018,MIA,37.7,83.8,45,9.6,26.6,36,18,23,78.3,9.1,34.0,43.1,21.0,14.1,7.5,4.6,5.3,19.4,20.1,102.9,-0.5
2018,MIL,39.1,83.7,46.8,10.1,27.1,37.2,18.4,23.5,78.3,10.0,32.8,42.7,23.6,15.6,7.1,4.5,5.4,19.9,21.4,106.8,0.3
2018,WSH,39,84.4,46.2,10.2,29.2,34.9,17.9,23.5,76.1,9.8,32.7,42.5,22.3,14.9,7.8,4.7,4.3,20,21.3,106.0,-0.6
2018,LAC,40.2,87.7,45.9,10.7,30.2,35.6,17.8,22.7,78.2,10.6,33.0,43.6,24.6,14.1,8.5,5.6,4.5,22,20,109.0,0
2018,DET,39.1,85.2,45.9,11.1,30.8,35.9,14.6,18.9,77.6,9.2,34.5,43.8,25.2,14.8,7.3,4.9,3.9,18.4,18.4,103.9,0.1
2018,CHA,41.1,87.8,46.8,11.3,30.1,37.5,14.5,18.2,79.5,8.4,35.3,43.7,24.7,13.6,6.6,4.9,4.5,22.4,17.2,108.0,-0.3
2018,LAL,41,89.9,45.6,10.4,30.1,34.6,17.1,22.5,76.1,10.2,34.6,44.8,23.6,14.3,8.3,5.5,4.7,20.5,21.2,109.6,1.5
2018,NY,39.4,86.3,45.7,11.2,30.4,36.8,18,23.2,77.4,10.2,33.0,43.2,24.0,13.3,8.2,4.7,5.1,18.4,20.5,108.0,3.6
2018,BKN,41.7,89.4,46.6,9,24.5,36.9,17.9,23.4,76.6,10.4,36.4,46.8,21.7,12.4,7.7,5.5,4.8,19.7,20.6,110.3,3.7
2018,SAC,38.7,82.4,47,11.9,31.5,37.7,16.4,21.5,76.5,9.1,34.7,43.8,23.6,14.3,7.8,4.7,4.1,17.3,20,105.8,7
2018,CHI,41,86.8,47.2,12.1,32.7,37,15.9,20.2,78.7,8.4,37.2,45.7,25.9,13.6,7.2,5.2,3.5,17.4,19.2,110.0,7
2018,ORL,40.9,87.5,46.8,10,27.6,36.2,16.4,21.2,77.3,10.6,35.3,45.9,24.4,14.2,7.8,4.9,4.9,19,19.3,108.2,4.8
2018,DAL,39.3,83.8,46.9,10.7,29.4,36.3,16.2,21.4,75.7,8.8,36.9,45.8,23.5,13.7,7.2,4.5,3.8,19.6,19.2,105.4,3
2018,ATL,40.7,86.7,46.9,11.6,30.7,37.7,15.9,20.6,77.2,10.3,34.0,44.2,26.1,15.1,8.7,5.5,4.2,20.3,19.6,108.8,5.5
2018,MEM,37.1,80.3,46.2,10.7,29,36.8,20.6,26.8,76.9,9.5,33.0,42.5,22.1,14.8,8.1,5.1,4.8,20.4,23.2,105.5,6.2
2018,PHX,41.8,88.7,47.1,10.9,29.2,37.3,18.8,24.6,76.6,10.4,35.4,45.9,23.3,13.4,8.7,6.0,4.5,20.9,22,113.3,9.4
2017,GS,38.8,89.2,43.5,9,27.8,32.4,17.7,23.2,76.1,11.7,31.8,43.5,22.7,15.5,8.6,3.8,6.8,19.4,19.3,104.3,-11.6
2017,SA,37,83.4,44.3,8.1,23.7,34.4,16,20.8,77.1,9.8,31.7,41.5,21.4,14.4,7.5,4.1,5.9,19.8,18.3,98.1,-7.2
2017,HOU,41.2,88.9,46.3,10,29.1,34.3,17.3,22.2,77.8,10.7,33.4,44.1,24.1,15.1,8.5,5.0,4.3,20.4,19.9,109.6,-5.8
2017,BOS,38.6,85.8,45,9,27,33.2,19.1,24.9,76.9,10.8,33.8,44.5,22.6,13.9,7.6,5.2,4.1,20.3,20.6,105.4,-2.6
2017,UTAH,36.3,82,44.3,8.2,22.9,35.8,16,20.7,76.9,9.0,31.1,40.2,17.8,12.1,7.3,3.8,5.0,20.2,18.8,96.8,-3.9
2017,TOR,37.2,82.9,44.9,9.7,27.3,35.4,18.5,23.8,78,10.1,31.9,42.1,21.8,14.6,6.7,4.8,4.9,20.3,20.8,102.6,-4.2
2017,CLE,40.6,88.8,45.8,10.4,28.7,36.1,15.5,20,77.3,11.0,33.2,44.2,24.7,12.6,7.3,4.3,4.0,20.6,18.1,107.2,-3.2
2017,LAC,38.6,85.4,45.2,9.2,26.3,35,18,23.4,77.2,10.2,32.9,43.1,23.1,13.2,7.0,3.1,4.2,22.4,19.8,104.4,-4.3
2017,WSH,39.7,85.1,46.6,9.9,27.1,36.4,18.2,24.2,75.1,10.6,32.5,43.0,22.8,15.3,7.4,4.6,4.1,19.8,21.3,107.4,-1.8
2017,OKC,39.2,85.3,45.9,8.8,24.8,35.6,18.6,24.3,76.4,9.1,31.5,40.6,21.4,13.8,8.5,5.5,5.0,20.7,20.9,105.8,-0.8
2017,MEM,34.9,78.8,44.3,9.9,28,35.4,20.2,26.9,75.3,9.3,32.8,42.1,20.1,14.3,7.0,5.0,4.2,20.8,22.4,100.0,-0.5
2017,ATL,38.8,87.3,44.4,10.9,30.5,35.7,15.6,20.2,77.2,10.7,33.2,43.9,23.4,15.4,9.0,5.2,4.8,21.6,18.2,104.0,0.9
2017,IND,38,84.3,45.1,10.4,29.1,35.5,19,24.1,78.9,10.7,33.5,44.3,22.3,14.9,8.1,5.0,5.0,19.5,19.5,105.3,0.2
2017,MIL,38,82.9,45.8,10,28.2,35.3,17.9,23.2,77.1,10.3,32.1,42.4,24.1,14.7,7.4,4.6,5.3,19.3,20.2,103.8,0.2
2017,CHI,39.5,86.6,45.6,8.9,25.9,34.5,14.6,19,77,10.3,32.9,43.2,23.6,13.4,7.3,4.6,4.8,18.8,17.7,102.4,-0.4
2017,POR,39.2,86.2,45.5,9.3,25.1,37,20.8,26.5,78.5,10.1,33.9,44.0,20.6,12.8,7.7,5.3,5.0,19.8,21.2,108.5,0.5
2017,MIA,37.9,84.2,45,7.8,22.7,34.3,18.5,23.7,78.2,10.2,33.4,43.6,19.6,13.7,6.8,4.9,5.7,18.7,20.5,102.1,-1.1
2017,DEN,42.1,88.4,47.7,9.9,26.3,37.5,17.1,21.9,78.2,9.4,31.4,40.8,24.0,12.0,8.3,4.9,3.9,20.2,19.1,111.2,-0.5
2017,DET,38.3,83.3,46,9.4,25.6,36.6,16.4,21,78,8.0,34.9,42.9,23.5,12.8,6.7,4.1,3.8,17.5,17.9,102.5,1.1
2017,CHA,39.5,86.5,45.6,11.6,31.4,36.9,14.2,18.2,77.6,8.9,35.5,44.4,24.5,13.1,6.6,5.5,4.8,19.9,16.6,104.7,-0.2
2017,NO,40.1,89,45,10.5,29.8,35.3,15.8,20.7,76.2,10.6,37.7,48.3,23.4,14.0,7.4,4.2,5.5,19.3,18.2,106.4,2.1
2017,DAL,37,79,46.9,9.6,25.3,38,17.2,22.3,77.2,8.9,35.6,44.5,21.3,14.9,6.5,3.4,3.7,19.4,19.1,100.8,2.9
2017,SAC,38.5,83.2,46.2,10.9,30,36.4,18.9,24.2,77.8,10.1,32.8,42.9,23.7,14.0,8.5,5.1,4.0,20.1,20.3,106.7,3.9
2017,MIN,39.6,83.3,47.5,9.9,27,36.6,17.6,22.9,76.8,9.8,30.6,40.4,23.1,14.3,7.7,5.0,4.5,20.5,20.1,106.7,1.1
2017,NY,39.7,87.4,45.5,9.8,28.2,34.8,18.7,24.2,77.1,11.6,33.1,44.7,21.8,12.9,7.5,4.6,5.5,18.5,20.3,108.0,3.7
2017,ORL,40.3,86.4,46.7,9.7,26.4,36.7,17.4,22.7,76.6,9.7,35.8,45.5,23.6,13.0,7.6,5.1,4.8,18.7,19.3,107.6,6.6
2017,PHI,39.6,85.9,46.1,8.9,24.9,35.7,20.1,26,77.3,10.8,34.2,45.0,22.7,15.1,8.6,5.4,5.1,19.6,21.9,108.1,5.7
2017,LAL,41.5,86,48.3,10.1,27.4,37,18.3,24,76.2,10.3,34.2,44.4,25.7,14.5,8.5,5.4,3.9,18.5,20.7,111.5,6.9
2017,PHX,40.2,86.2,46.7,10.1,26.3,38.2,22.8,29.1,78.3,10.2,33.8,44.0,22.2,14.9,8.1,5.3,4.9,22.2,24.8,113.3,5.6
2017,BKN,41.6,90.8,45.8,10,27.2,36.6,19.3,25,77.2,11.0,36.2,47.2,23.0,13.3,9.5,5.6,4.7,20.4,21,112.5,6.7
2016,GS,38.9,89.4,43.5,7.8,23.5,33.2,18.6,24.5,75.7,11.4,32.5,43.9,22.2,14.5,8.7,4.1,6.1,19.8,20.7,104.1,-10.8
2016,SA,35.7,81.8,43.6,6.6,19.9,33.1,14.9,19.6,75.8,9.1,31.4,40.5,20.8,14.8,7.2,3.9,5.9,19.5,17.5,92.9,-10.6
2016,CLE,36.8,82.1,44.8,7.9,22.7,34.7,16.8,22.6,74.3,9.3,31.8,41.0,21.4,13.3,7.2,4.4,3.9,20.6,20.3,98.3,-6
2016,TOR,36.5,82.1,44.4,8.7,23.4,37.3,16.5,22.1,74.8,9.5,31.2,40.8,21.7,13.3,6.5,5.4,5.5,22,19.6,98.2,-4.5
2016,OKC,38.4,87.7,43.8,8.1,23.8,34.2,18,23.8,75.6,11.3,28.9,40.2,21.5,13.0,8.8,4.5,5.9,20.2,20.6,102.9,-7.3
2016,LAC,36.8,84.7,43.4,7.9,23.3,33.8,18.8,25.1,75.1,11.8,34.9,46.7,21.2,15.4,7.1,3.2,5.6,22.5,21.3,100.2,-4.3
2016,MIA,37.2,84.3,44.2,7.4,21.2,34.7,16.5,21.5,77,9.8,31.5,41.3,20.2,12.9,7.5,4.1,6.5,19.6,18.3,98.4,-1.6
2016,BOS,37.5,85,44.1,7.8,23.3,33.6,19.7,26,75.5,11.4,34.6,46.0,20.9,16.4,7.6,5.5,4.2,21,21.9,102.5,-3.2
2016,CHA,37.8,85,44.4,8.9,25.4,34.9,16.3,21.2,76.9,8.9,35.8,44.7,23.2,13.4,6.7,5.5,5.3,20.4,18.1,100.7,-2.7
2016,ATL,37.1,86.1,43.2,8.3,24.5,33.8,16.7,22.1,75.5,11.5,35.0,46.5,22.0,16.1,8.6,5.0,5.9,18.3,19.1,99.2,-3.6
2016,IND,37.4,84.9,44,8.3,24.8,33.4,17.4,23.2,75.1,10.7,33.8,44.5,20.8,15.8,7.7,4.5,4.8,20.4,20,100.5,-1.7
2016,DET,38.8,84.2,46.1,7.3,20.5,35.5,16.5,21,78.3,8.8,33.7,42.5,21.5,13.4,7.1,4.5,3.7,21.6,19,101.4,-0.6
2016,POR,38.4,84.7,45.3,8.5,23,37.1,19,26,73.4,10.6,33.1,43.7,21.6,13.3,7.7,5.2,4.6,19.5,21.7,104.3,-0.8
2016,DAL,38.3,85,45.1,9.1,26.5,34.2,16.9,22.8,73.8,10.6,35.2,45.8,22.0,13.9,7.5,4.4,3.7,21.4,19.5,102.6,0.3
2016,CHI ,39.4,89.4,44.1,7.9,23,34.5,16.3,22.1,73.7,11.8,34.1,45.9,22.5,11.9,8.0,5.7,5.7,18.7,18.8,103.1,1.5
2016,MEM,35.9,78.8,45.6,9.7,26.6,36.5,19.7,25.7,76.8,10.1,33.1,43.2,21.9,16.2,7.0,5.7,4.3,21.1,21.7,101.3,2.2
2016,HOU,39,85.1,45.9,9.7,26.9,36.1,18.6,24.6,75.6,11.8,32.8,44.6,24.6,16.6,9.0,4.9,5.2,22.5,21.8,106.4,-0.2
2016,WSH,38.7,83.8,46.2,9,24.2,37.1,18.3,23.7,76.9,9.4,34.9,44.3,22.5,16.2,8.1,4.3,3.9,20.1,20.8,104.6,0.5
2016,UTAH,35.6,79.9,44.6,7.9,22.2,35.7,16.8,22.5,74.6,9.3,30.8,40.1,19.1,14.0,8.0,4.7,5.2,19.9,20.2,95.9,-1.8
2016,ORL,38.4,83.5,46,8.9,24.9,35.9,17.9,24,74.6,10.1,34.1,44.3,23.2,15.1,7.6,5.5,5.1,18.3,20.7,103.7,1.6
2016,MIL,37.8,83.1,45.4,9.3,26.5,35.2,18.4,23.9,76.8,11.5,31.5,43.0,24.5,15.5,8.3,5.6,5.8,19.5,20.7,103.2,4.2
2016,DEN,38.8,84.2,46.1,9.2,24.8,37.1,18.2,23.9,76.1,9.7,32.9,42.7,23.5,13.7,8.0,6.3,4.8,20.9,21,105.0,3.1
2016,SAC,40.6,87.7,46.2,10.2,28,36.6,17.7,23.2,76.2,11.3,33.7,45.0,24.2,16.0,8.8,5.3,4.5,22,20.4,109.1,2.5
2016,NY,38,85.8,44.3,7.6,22.4,34.1,17.5,23.2,75.4,10.9,33.3,44.2,20.8,11.3,7.2,4.2,5.7,18.5,19.7,101.1,2.7
2016,NO,39.2,83.9,46.8,9.2,24.9,36.9,18.8,24,78.3,8.9,35.5,44.4,23.2,13.7,7.3,5.2,4.2,19.9,20.9,106.5,3.8
2016,MIN,40,84.9,47.1,9,25.5,35.5,17,22.5,75.7,10.7,31.2,41.9,22.6,14.9,7.8,5.2,4.6,21.6,20.7,106.0,3.5
2016,PHX,39.1,83.8,46.7,9.4,24.9,37.7,19.9,26.5,74.9,9.9,33.8,43.7,22.4,14.9,9.5,5.5,3.8,21.6,22.7,107.5,6.7
2016,BKN,40.8,85.2,47.9,9.5,25.6,36.9,15,19.6,76.3,10.2,33.2,43.4,24.5,14.2,8.8,5.2,4.0,18.4,18,106.0,7.4
2016,LAL,40.5,85.6,47.3,8.5,24.6,34.7,17.3,23.7,73.1,10.9,35.5,46.5,24.7,12.6,7.5,5.6,4.1,19.2,20.3,106.9,9.6
2016,PHI,39.7,85.4,46.4,7.8,21.7,35.9,20.5,26.1,78.6,11.1,36.4,47.6,23.4,15.1,8.7,5.7,6.0,19.2,21.7,107.6,10.2
2015,GS,37,86.4,42.8,7.2,21.4,33.7,18.7,24.5,76.3,11.7,32.8,44.5,21.0,16.2,8.3,3.6,6.0,18.8,19.9,99.9,-10.1
2015,ATL,36.5,83.1,43.9,8.8,25.8,34.1,15.4,20.1,76.4,11.6,32.1,43.6,23.5,16.1,7.4,4.9,4.6,19.6,17.8,97.1,-5.4
2015,HOU,37.7,85.2,44.3,7.4,22.9,32.2,17.7,23.6,75.1,11.9,32.0,43.8,21.4,16.4,8.9,5.3,5.0,21.1,22,100.5,-3.4
2015,LAC,36.4,82.3,44.2,8.3,23.9,34.9,19,25.7,74.1,10.6,32.3,42.9,23.2,14.3,6.7,3.0,5.0,21.5,21.3,100.1,-6.6
2015,MEM,36,81.5,44.2,8.1,23,35.1,14.9,20.1,74.2,10.5,31.9,42.4,20.1,15.3,7.4,5.2,4.2,20.3,19.1,95.1,-3.2
2015,SA,37.1,83.7,44.4,6.8,18.9,36,15.9,21.4,74.5,9.9,32.2,42.1,20.7,14.2,7.9,4.4,5.4,19.7,19.1,97.0,-6.2
2015,CLE,38.1,83.5,45.6,7.7,22.5,34.3,14.8,19.9,74.5,10.8,30.3,41.1,24.1,13.3,7.8,4.5,4.1,20.5,18.4,98.7,-4.5
2015,POR,38.2,86.9,43.9,6.4,18.9,33.8,15.8,20.9,75.8,11.0,33.6,44.6,20.4,12.2,8.0,3.6,4.5,18.7,18.2,98.6,-4.2
2015,CHI,37.7,86.7,43.5,6.6,19.6,33.5,15.7,21,74.9,11.7,31.7,43.4,20.2,12.2,7.5,5.4,5.8,21.2,18.2,97.8,-3
2015,DAL,38,84.5,45,9,24.8,36.4,17.3,22.9,75.3,12.3,33.9,46.1,22.3,16.3,7.3,3.8,4.5,22.1,20,102.3,-2.9
2015,TOR,38,82.8,45.9,7.7,22.3,34.6,17.2,23.5,73.3,11.2,31.2,42.5,22.8,14.4,6.9,5.0,4.4,20.3,20.9,100.9,-3.1
2015,WSH,36.2,83.5,43.3,8,23,34.9,17.5,23.7,73.8,10.0,31.7,41.7,19.9,14.0,8.0,4.3,4.6,19.6,20.8,97.8,-0.7
2015,NO,37.9,83.1,45.6,6.5,19.6,33.5,16.2,21.4,75.9,10.6,30.9,41.5,20.7,12.2,6.8,5.8,6.2,18.7,18.7,98.6,-0.8
2015,OKC,37.6,85.5,44,8.3,24.2,34.3,18.2,24.5,74.5,11.2,31.5,42.7,22.1,13.6,7.8,4.6,5.5,20.4,22.3,101.8,-2.2
2015,MIL,35.6,81.5,43.7,8.2,24.1,34.2,18,24.3,74.2,11.4,31.4,42.9,22.3,17.4,8.6,4.8,4.9,20.1,22.1,97.4,-0.4
2015,BOS,38.1,84.7,45,7.4,22,33.6,17.6,23.3,75.5,10.9,33.8,44.7,21.9,15.1,7.1,5.3,3.6,18.8,21.2,101.2,-0.2
2015,PHX,38.4,85,45.2,7.7,21.9,35.2,18.8,24.8,75.9,11.6,33.7,45.3,21.1,15.6,7.9,4.1,4.7,20.3,21.3,103.3,0.9
2015,IND,36,82.7,43.5,7.2,20.9,34.5,17.9,23.8,75.3,9.8,33.0,42.7,19.9,12.7,7.5,4.7,4.6,21.4,21.2,97.0,-0.3
2015,UTAH,35.8,80.3,44.6,7.4,20.4,36.2,16,21.5,74.4,9.9,29.3,39.2,19.4,13.1,8.2,4.7,6.0,19.6,19.3,94.9,-0.2
2015,BKN,38.4,84.3,45.6,8.5,23.7,35.8,15.6,21.3,73.1,11.4,32.9,44.3,23.7,13.9,7.8,4.5,4.1,20,19.3,100.9,2.9
2015,MIA,36.1,79.5,45.4,8.1,23,35.3,17,23.2,73,10.9,30.1,41.0,21.3,14.8,7.9,4.4,4.5,20.9,20,97.3,2.6
2015,CHA,36.8,83.7,44,7.9,22.1,35.7,15.8,20.4,77.2,8.9,35.2,44.1,22.1,12.6,6.1,5.4,5.5,20.8,18.2,97.3,3.2
2015,DET,37.9,83.1,45.6,7.7,21.8,35.5,16,20.7,77.2,10.7,33.4,44.1,23.8,14.0,7.0,4.8,4.7,19.3,19,99.5,1
2015,DEN,38.6,84.3,45.8,7.7,22.2,34.6,20.1,26.9,74.8,11.0,34.1,45.1,23.1,14.4,7.5,6.1,4.5,20.7,23,105.0,3.5
2015,SAC,39.5,86.5,45.6,8.8,25.1,34.9,17.3,23.1,74.8,11.0,30.2,41.2,23.3,12.9,8.7,6.2,4.0,23.9,20.7,105.0,3.7
2015,ORL,38,82,46.3,8.3,22.6,36.8,17.2,22.9,75.1,10.1,33.4,43.5,23.4,14.5,7.7,5.4,3.8,17.9,20.9,101.4,5.7
2015,LAL,38.8,83.1,46.6,8.5,23.4,36.3,19.2,25.8,74.5,10.0,34.1,44.2,24.0,13.0,7.5,4.8,4.5,19.4,21.2,105.3,6.8
2015,PHI,37.1,82.7,44.9,8,22.9,35,18.7,24.7,75.6,11.5,34.8,46.3,23.7,16.8,9.5,5.5,5.9,20.2,21.7,101.0,9
2015,NY,37,80.4,46,8.5,22.3,38,18.8,24.8,75.9,11.0,32.5,43.5,21.7,14.1,8.0,4.3,4.7,19.1,21.6,101.2,9.3
2015,MIN,41.1,84.5,48.7,8.5,23.1,36.7,15.8,20.8,75.9,11.6,31.9,43.6,23.6,15.2,8.4,5.5,4.0,21.4,19.2,106.5,8.8
2014,SA,37.8,85.1,44.4,6.5,18.3,35.3,15.7,20.6,76,10.5,31.7,42.2,20.4,13.9,7.7,4.6,5.1,19.3,18.2,97.6,-7.7
2014,OKC,36.4,83.4,43.6,8.6,24,35.8,18.4,25.4,72.7,11.0,30.0,40.9,21.8,15.2,8.2,3.6,6.1,20.4,22.7,99.8,-6.3
2014,LAC,37.4,84.9,44.1,7.3,21.8,33.2,18.9,25,75.5,12.3,31.4,43.7,23.3,15.4,7.0,3.5,4.8,23.4,21.5,101.0,-7
2014,IND,34.8,82.7,42,6.6,19,34.5,16.3,21.6,75.5,10.4,30.7,41.2,18.6,13.7,7.2,4.6,5.4,21.9,20.4,92.3,-4.4
2014,MIA,36.1,79,45.7,8.5,23.4,36.2,16.8,22.3,75,10.8,29.5,40.3,21.4,16.7,8.1,3.1,4.5,20.4,19.5,97.4,-4.8
2014,POR,39.6,87.8,45.1,6.5,18.3,35.5,17,22.2,76.6,11.5,32.0,43.5,20.4,12.0,7.8,3.7,4.7,20.7,19.2,102.8,-4
2014,HOU,39,88,44.3,8.1,23,35.3,17,22.5,75.7,11.9,29.7,41.7,22.2,14.0,8.6,5.6,5.6,24.3,20.4,103.1,-4.6
2014,GS,36.8,84.4,43.6,6.9,20.2,34.4,18.9,24.7,76.5,10.7,32.6,43.3,20.5,15.0,7.9,4.2,5.0,19.3,21.8,99.5,-4.8
2014,MEM,35.7,79.3,45,7.5,21.1,35.5,15.8,20.6,76.6,9.9,29.3,39.2,19.9,14.2,7.2,5.0,4.6,18.9,19.1,94.6,-1.6
2014,DAL,37.8,81.4,46.4,8.3,23,35.9,18.7,24.6,75.8,11.5,31.3,42.8,22.0,16.0,7.7,3.5,4.3,19.9,20,102.4,-2.4
2014,TOR,36.1,80.2,45,6.9,19.2,36,19,25.3,75.2,10.4,30.5,41.0,21.0,14.9,7.3,4.3,4.2,22.1,23,98.0,-3.2
2014,CHI,35,81.2,43,6.6,18.7,35.1,15.3,20.3,75.3,10.7,30.6,41.3,19.6,14.4,7.6,6.0,5.2,20.9,19.1,91.8,-1.9
2014,PHX,38,83.4,45.6,6.8,19.9,34.1,19.8,25.8,76.6,11.3,31.5,42.8,20.3,15.3,7.5,4.0,4.6,21.3,21.9,102.6,-2.6
2014,WSH,37,80.9,45.8,7.5,21.5,34.7,17.8,23.3,76.5,10.1,32.1,42.2,22.2,16.0,7.7,3.9,4.6,19.5,20.4,99.4,-1.3
2014,BKN,36.3,79.4,45.8,8.1,22,36.7,18.8,24.7,76,11.2,31.6,42.9,21.0,15.8,7.4,4.1,3.8,20.8,21.7,99.5,1
2014,CHA,36.9,83.4,44.2,8.1,22,36.9,15.3,20.1,75.9,9.6,33.7,43.3,21.0,13.3,6.3,5.1,5.1,20.9,18.2,97.1,0.2
2014,MIN,40.5,86,47.1,8.1,22.2,36.4,15.2,20.1,75.6,11.1,33.1,44.2,22.9,16.4,7.9,5.6,3.6,23.6,18.3,104.3,-2.7
2014,ATL,38.6,83.5,46.2,8,21.9,36.5,16.4,21.9,74.8,10.8,32.8,43.5,23.2,15.2,8.2,4.3,4.0,20,19.2,101.5,0.5
2014,NY,35.8,78.1,45.8,8.7,23.4,37.1,19.1,25,76.5,10.3,31.7,42.0,19.7,14.5,6.3,3.4,4.5,19.6,22.1,99.4,0.8
2014,DEN,39.5,86.4,45.7,7.4,21,35.1,20.2,26.4,76.3,11.3,32.5,43.8,22.5,14.4,8.5,5.6,5.6,21.7,23,106.5,2.1
2014,NO,37.3,80.1,46.5,8,22.3,35.7,20,26.5,75.2,10.7,31.0,41.7,22.5,14.5,7.0,6.1,6.4,20.3,22.6,102.4,2.7
2014,CLE,37.8,83.5,45.2,9.3,25.4,36.7,16.6,22,75.7,10.3,32.3,42.5,24.8,14.0,7.2,5.6,3.7,19.5,20,101.5,3.3
2014,DET,39.1,83.2,47,8.3,22.8,36.5,18.1,24,75.6,11.1,31.9,43.0,24.4,15.0,8.2,4.9,4.8,20.7,20.3,104.7,3.7
2014,SAC,37.8,82.1,46.1,8.5,22.4,38,19.2,26.1,73.7,9.9,31.3,41.2,23.5,13.6,7.8,5.6,3.9,23.1,22.5,103.4,2.9
2014,LAL,42,89.6,46.8,8.1,22.5,36.1,17.2,23.7,72.7,13.0,36.0,49.0,25.8,14.2,9.6,4.7,5.4,19.3,19.8,109.2,6.3
2014,UTAH,38.3,81,47.3,7.3,19.4,37.6,18.3,23.7,77.3,10.3,32.2,42.5,21.8,12.6,7.5,4.9,4.5,20.4,20.7,102.2,7.2
2014,BOS,37.8,81.4,46.5,6.6,18.9,34.7,18.5,24.3,76.1,10.6,31.7,42.3,22.1,14.2,7.4,4.5,4.2,19.1,21.3,100.7,4.5
2014,ORL,38.1,83.7,45.6,8,21.7,37.1,17.7,22.9,77,10.5,33.5,44.0,22.5,14.0,7.1,5.4,4.3,18.3,20.5,102.0,5.4
2014,PHI,40,85.1,47.1,9,24.4,37,20.8,27.6,75.4,11.9,35.0,46.9,26.1,17.0,9.0,6.8,4.0,20.6,22.5,109.9,10.5
2014,MIL,38.4,82,46.8,8.5,22.3,38.2,18.4,24.5,75.1,11.7,31.8,43.5,22.8,14.1,7.8,5.0,4.9,20.6,20.9,103.7,8.2
