season,team,win_ratio,log_sum
2016,LAL,0.207,10.7876140811876
2015,CHA,0.402,10.8214506177844
2018,WSH,0.524,10.9388884579548
2016,HOU,0.5,10.9309712753606
2014,BOS,0.305,10.803969381774
2015,MIL,0.5,10.8612571982117
2015,CHI,0.61,10.979179615912
2018,BKN,0.341,10.8159975703696
2016,TOR,0.683,10.9868502345173
2016,IND,0.549,10.867232433753
2016,GS,0.89,11.0577825660551
2016,SA,0.817,11.0152331539203
2018,HOU,0.793,10.9899632845939
2017,DET,0.451,10.8885948979895
2015,WSH,0.561,10.8404225887994
2014,MEM,0.61,10.9244558167098
2016,ORL,0.427,10.8915766195499
2014,MIL,0.183,10.7350059158728
2016,UTAH,0.488,10.9060393289969
2015,PHI,0.22,10.6394153199807
2016,DEN,0.402,10.8600868424832
2015,NO,0.549,10.9606593757515
2018,LAC,0.512,10.838336589765
2016,CLE,0.695,10.9684453266884
2017,DAL,0.402,10.7941928098844
2016,OKC,0.671,11.0319041835223
2018,PHX,0.256,10.7137091522483
2017,SAC,0.39,10.8055438384092
2014,NO,0.415,10.9079094685857
2017,UTAH,0.622,10.9279906572895
2015,MEM,0.671,10.9439553249049
2018,POR,0.598,10.9399296506516
2016,MIL,0.402,10.9202607114616
2014,CHA,0.524,10.8810792912769
2016,ATL,0.585,10.9269942939383
2018,TOR,0.72,11.0197146178545
2015,SA,0.671,10.9911305134329
2018,IND,0.585,10.9655376005651
2017,WSH,0.598,10.9619971625519
2014,GS,0.622,10.9666232743482
2018,ATL,0.293,10.7753207076065
2017,MEM,0.524,10.8711817967928
2015,GS,0.817,11.0557111445252
2015,DEN,0.366,10.7965081031375
2014,CHI,0.585,10.8910009944953
2014,DEN,0.439,10.8580767119164
2016,PHX,0.28,10.7896351162172
2014,MIA,0.659,11.0096647234486
2018,ORL,0.305,10.798845803934
2017,TOR,0.622,10.965230114346
2018,SAC,0.329,10.8269546715445
2018,PHI,0.634,10.9093471846188
2018,NY,0.354,10.8416215965162
2014,MIN,0.488,10.9479254419122
2016,MIN,0.354,10.9286192534144
2014,POR,0.659,10.9909521377171
2015,MIN,0.195,10.7430730507467
2015,HOU,0.683,10.9126613341181
2015,IND,0.463,10.8571725968661
2015,BOS,0.488,10.8075946528363
2017,CHA,0.439,10.942954083785
2015,ATL,0.732,10.9871253969534
2018,MEM,0.268,10.7091163474432
2018,CLE,0.61,10.8718274467758
2016,LAC,0.646,10.9510998031104
2015,TOR,0.598,11.0134163611688
2018,DET,0.476,10.8674288269065
2017,GS,0.817,11.0521469708052
2014,DET,0.354,10.9320797877451
2016,POR,0.537,10.9546465727808
2015,SAC,0.354,10.874705127184
2014,PHX,0.585,10.9739372247585
2017,DEN,0.488,10.9541623118133
2015,DET,0.39,10.8559748011729
2016,PHI,0.122,10.7829128482653
2015,MIA,0.451,10.8205167485153
2017,NO,0.415,10.8378898882206
2017,HOU,0.671,10.9528456947262
2017,NY,0.378,10.894892310558
2016,CHA,0.585,10.9319152214102
2017,BOS,0.646,10.9486575043619
2014,PHI,0.232,10.7586417456528
2016,DAL,0.512,10.8847077739019
2017,ORL,0.354,10.8529073896501
2014,HOU,0.659,10.9979829850471
2018,MIA,0.537,10.9105139336783
2018,LAL,0.427,10.8506101916255
2016,NO,0.366,10.8170086114437
2016,WSH,0.5,10.8326116171607
2014,WSH,0.537,10.8605432006166
2017,SA,0.744,10.9947325910947
2015,DAL,0.61,10.9457769797195
2014,BKN,0.537,10.8607540157112
2018,SA,0.573,10.9157705303026
2015,OKC,0.549,10.8817408468304
2014,LAC,0.695,11.0075166660797
2015,ORL,0.305,10.8433070284349
2014,ATL,0.463,10.9124332962018
2017,CHI,0.5,10.8964467729979
2016,BOS,0.585,10.940817641671
2015,UTAH,0.463,10.9351492280939
2018,CHI,0.329,10.7725318143193
2016,CHI,0.512,10.8760290894295
2014,SA,0.756,10.9991161642468
2017,POR,0.5,10.937039809083
2015,BKN,0.463,10.8742919185815
2014,NY,0.451,10.9135171283824
2014,LAL,0.329,10.7917279194556
2015,LAC,0.683,11.0257620226864
2017,IND,0.512,10.9492469817358
2017,CLE,0.622,10.9538042304942
2017,MIA,0.5,10.9112894881158
2016,SAC,0.402,10.936031349253
2016,NY,0.39,10.9059066210103
2017,MIN,0.378,10.9763823583263
2017,MIL,0.512,10.9396430514808
2015,CLE,0.646,10.9507184708916
2018,BOS,0.671,10.8761482970937
2017,PHX,0.293,10.8588908902086
2016,BKN,0.256,10.8160288563787
2017,ATL,0.524,10.8607696405952
2016,MEM,0.512,10.8200609780247
2017,OKC,0.573,10.8967917353929
2017,BKN,0.244,10.7523343861806
2018,GS,0.707,10.9606589561495
2014,IND,0.683,10.8842840307004
2018,DAL,0.293,10.8356147769761
2018,CHA,0.439,10.919957936386
2018,OKC,0.585,10.969029136739
2017,LAC,0.622,10.9970072570477
2014,TOR,0.585,10.9342558970936
2014,ORL,0.28,10.857093368302
2017,PHI,0.341,10.7615721213086
2018,NO,0.585,10.984689822531
2018,UTAH,0.585,10.9069816677147
2018,MIL,0.537,10.9213854192882
2014,DAL,0.598,11.0247265781963
2015,POR,0.622,10.9383552680564
2016,MIA,0.585,10.9459290899094
2018,MIN,0.573,11.0386172769526
2015,LAL,0.256,10.840267611495
2014,OKC,0.72,11.0089856780125
2014,UTAH,0.305,10.8676560669674
2014,CLE,0.402,10.8599249392722
2015,PHX,0.476,10.9365503685316
2017,LAL,0.317,10.8084731473873
2016,DET,0.537,10.8988673923645
2015,NY,0.207,10.6207339354167
2014,SAC,0.341,10.8248953392192
2018,DEN,0.561,10.9685487664969
